id;display_name;avatar_url;bio
1;amid nudge gratefully;like hm whose;../fake-data/blob/hipster.txt
2;even;triangular illustrious;../fake-data/blob/hipster.txt
3;electronics unto;yowza for er;../fake-data/blob/hipster.txt
4;coliseum gallery;chainstay riser charm;../fake-data/blob/hipster.txt
5;moor before;save;../fake-data/blob/hipster.txt
6;yippee premier;why;../fake-data/blob/hipster.txt
7;outsource until gosh;even;../fake-data/blob/hipster.txt
8;swine rigid;if weep harp;../fake-data/blob/hipster.txt
9;crumble propound crowded;happy;../fake-data/blob/hipster.txt
10;gladly;nocturnal magnificent;../fake-data/blob/hipster.txt
