id;title;level;description;thumbnail
1;kiddingly;unfit;../fake-data/blob/hipster.txt;scope
2;disarm;haunting pomelo;../fake-data/blob/hipster.txt;what courteous
3;fondly;ew ravel;../fake-data/blob/hipster.txt;denitrify lyre
4;ick knottily yippee;yuck father however;../fake-data/blob/hipster.txt;important
5;beside speedy fooey;hover;../fake-data/blob/hipster.txt;defenseless boohoo
6;but;or override;../fake-data/blob/hipster.txt;yearningly
7;rejoin outside immediate;where;../fake-data/blob/hipster.txt;closely
8;on since times;nor bashfully;../fake-data/blob/hipster.txt;instruction and
9;now modulo aw;cautiously pro pace;../fake-data/blob/hipster.txt;yum
10;newsprint dependent;sans priesthood;../fake-data/blob/hipster.txt;enfold misjudge whether
