id;exercise_type;score;answer;audio_path;submitted_at
1;blend woefully;30806;../fake-data/blob/hipster.txt;masticate lest;2025-10-20T18:18:56
2;times;1897;../fake-data/blob/hipster.txt;similar;2025-10-21T06:15:25
3;however anenst;17481;../fake-data/blob/hipster.txt;circa;2025-10-21T00:58:06
4;pixellate;17187;../fake-data/blob/hipster.txt;how ugh like;2025-10-21T02:29:26
5;amidst ugh oxidize;1510;../fake-data/blob/hipster.txt;qua;2025-10-21T00:29:12
6;consign fixed shrill;22740;../fake-data/blob/hipster.txt;amid throughout loose;2025-10-20T20:15:10
7;sunny furthermore harp;7124;../fake-data/blob/hipster.txt;bench than;2025-10-20T17:31:47
8;finally down plus;7256;../fake-data/blob/hipster.txt;unto;2025-10-21T09:53:37
9;optimal oval;19484;../fake-data/blob/hipster.txt;punctuation sweatshop yum;2025-10-20T17:39:45
10;beyond downright onto;23200;../fake-data/blob/hipster.txt;perfectly;2025-10-20T21:29:17
