id;title;description;level;estimated_minutes;thumbnail
1;knuckle for unhealthy;../fake-data/blob/hipster.txt;deserted;32058;every pasta
2;second royal;../fake-data/blob/hipster.txt;louse what anenst;31917;hard-to-find
3;passport;../fake-data/blob/hipster.txt;censor selfish;18570;boastfully unfreeze CD
4;stay burgeon blah;../fake-data/blob/hipster.txt;vivaciously toward;14156;scoff unripe
5;vacantly inasmuch;../fake-data/blob/hipster.txt;mallard;23398;sadly sign
6;spark carelessly;../fake-data/blob/hipster.txt;lashes yippee carelessly;29372;repeatedly ouch
7;circumference why oil;../fake-data/blob/hipster.txt;astride memorable soybean;8345;whereas
8;pro;../fake-data/blob/hipster.txt;indeed during beneficial;2838;on stunning extent
9;amid a urgently;../fake-data/blob/hipster.txt;meh ha;3892;upliftingly
10;object;../fake-data/blob/hipster.txt;remarkable;26974;cemetery fake
