id;audio_path;transcript;question;option_a;option_b;option_c;correct_option;chart
1;supposing next evil;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;meanwhile finally circa;opposite;unlike well-made equate;up zowie;7325
2;pro mechanically;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;close;cautious instead ack;reservation;zowie mechanically um;14025
3;zowie elementary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;clear commonly;far-flung and;fooey down out;viciously until if;802
4;leading;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;celebrated;slime finally;doodle regularly until;extra-large er oil;4
5;outside;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aha;council;astonishing castanet;merry convoke anti;219
6;ready;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;chow after;ferociously acidic utterly;gripper with;soggy around;20050
7;aw;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;thankfully scaly;brand spotless terraform;ack disk since;whether psst;30908
8;but gadzooks brochure;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;freckle by;curly;gripper;where;2138
9;aw minister guidance;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;humidity;oily;shadowy wisely;till which;11502
10;that colonialism eek;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reapply;till during;outrageous political;notwithstanding classic yearn;14221
