id;start_at;end_at;duration_minutes
1;2025-10-21T02:48:45;2025-10-21T13:03:43;18801
2;2025-10-21T04:36:41;2025-10-20T20:01:13;21065
3;2025-10-21T03:11:48;2025-10-21T13:00:17;21737
4;2025-10-21T00:56:05;2025-10-20T18:13:59;13887
5;2025-10-20T16:24:04;2025-10-20T22:09:48;21801
6;2025-10-21T13:49:11;2025-10-20T19:53:33;2170
7;2025-10-20T16:34:46;2025-10-20T20:46:03;2652
8;2025-10-21T06:43:06;2025-10-20T18:07:27;9511
9;2025-10-21T06:13:47;2025-10-21T00:07:08;4176
10;2025-10-21T06:40:57;2025-10-21T07:58:51;26144
