id;text;meaning;pronunciation;part_of_speech;image_url
1;plus broken;../fake-data/blob/hipster.txt;yippee;leap;mmm yet equally
2;correctly;../fake-data/blob/hipster.txt;following plus near;blissfully fraudster;valiantly why
3;aboard;../fake-data/blob/hipster.txt;scrap;who;inasmuch
4;tough ugh;../fake-data/blob/hipster.txt;inside slowly;eventually once;peaceful soon inasmuch
5;er;../fake-data/blob/hipster.txt;jut gee;disposer self-assured;nor instead
6;the daintily utilization;../fake-data/blob/hipster.txt;wash;phew how amidst;failing
7;guard;../fake-data/blob/hipster.txt;wrongly mmm;vet twine;ramp
8;via qua;../fake-data/blob/hipster.txt;tromp;whose book usually;ack graft
9;busily hm meander;../fake-data/blob/hipster.txt;broadside inquisitively but;fax circa as;drug
10;through that regulate;../fake-data/blob/hipster.txt;eek irritably smart;fellow greedily;assail if ape
